prefix,video_stem,landmark_class,landmark_raw,side,embryo_role,x,y,annot_frame,peak_frame,F0,peak,dff,localized
PS64,PS64_C-oHT-pM-Zoom5.60,cement_gland,Cement gland response,single,single,452.0,656.0,1.0,12,489.0,603.0,0.233,0
PS66,PS66_C-oHT-pM-Zoom5.60,cement_gland,Cement gland response,single,single,424.0,660.0,1.0,30,513.0,861.0,0.678,0
PS67,PS67_C-oHT-pM-Zoom5.60,cement_gland,Cement gland response,single,single,342.0,652.0,1.0,18,552.0,638.0,0.156,0
PS68,PS68_C-oHT-pM-Zoom5.60,tail_response,Tail response,single,single,1624.0,574.0,301.0,294,786.0,1046.0,0.331,1
PS68,PS68_C-oHT-pM-Zoom5.60,cement_gland,Cement gland response,single,single,466.0,666.0,1.0,12,439.0,523.0,0.191,0
PS73,PS73_C-oHT-pM-Zoom5.60,cement_gland,Cement gland response,single,single,522.0,688.0,1.0,12,413.0,433.0,0.048,0
PS75,PS75_C-oHT-pM-Zoom5.60,cement_gland,Cement gland response,single,single,512.0,694.0,1.0,18,403.0,462.0,0.146,0
WG16,WG16_C-oTHHT-pM-Zoom5.20,tail_response,Tail signal,Left,neighbor,152.0,484.0,1.0,0,368.0,457.0,0.242,0
WG16,WG16_C-oTHHT-pM-Zoom5.20,tail_response,Tail signal,Right,stimulated,2866.0,370.0,1.0,6,418.0,654.0,0.565,1
WG20,WG20_C-oTHHT-pM-Zoom5.00,local,Local signal,Left,neighbor,778.0,472.0,155.0,140,670.0,1594.0,1.379,1
WG21,WG21_C-oTHHT-pM-Zoom3.90,local,Local signal,Left,neighbor,942.0,560.0,17.0,96,705.0,948.0,0.345,1
WG34,WG34_C-oHTHT-pT-Zoom5.70,cement_gland,CG response,Left,stimulated,249.0,630.0,1.0,36,434.0,843.0,0.942,1
WG36,WG36_C-oHTHT-pT-Zoom6.00,cement_gland,CG response,Left,stimulated,228.0,582.0,1.0,25,406.0,742.0,0.828,1
WG39,WG39_C-oHTHT-pT-Zoom5.60,cement_gland,CG response,Left,stimulated,212.0,552.0,1.0,12,345.0,395.0,0.145,0
WG41,,tail_response,tail response,Right,neighbor,2790.0,330.0,80.0,78,351.0,410.0,0.168,1
WG44,WG44_C-oHTHT-pT-Zoom5.60,tail_response,tail signal,Right,neighbor,2780.0,480.0,228.0,222,333.0,355.0,0.066,1
WG58,WG58_C-oHTTH-pT-Zoom5.60,cement_gland,CG response,single,single,192.0,525.0,,0,442.0,768.0,0.738,0
WG59,WG59_C-oHTTH-pT-Zoom5.60,local,local signal,Right,neighbor,1584.0,382.0,147.0,150,905.0,2081.0,1.299,1
WG69,WG69_C-oTHHT-pM-Zoom5.30,local,Local signal,Right,neighbor,237.0,516.0,106.0,66,734.0,928.0,0.264,0
WG69,WG69_C-oTHHT-pM-Zoom5.30,tail_response,Tail signal,Right,neighbor,2952.0,430.0,7.0,18,801.0,2678.2,2.344,1
WG71,WG71_C-oTHHT-pM-Zoom5.60,local,local signal,Left,neighbor,867.0,585.0,108.0,210,874.0,2143.0,1.452,1
WG78,WG78_C-oHTTH-pT-Zoom5.60,tail_response,Tail signal,Left,stimulated,1467.0,450.0,155.0,150,1187.0,3866.0,2.257,1
WGD82,WGD82_C-oHTHT-pT-Zoom5.60,local,local signal,Right,neighbor,2244.0,508.0,325.0,400,1223.0,4497.0,2.677,1
WGD82,WGD82_C-oHTHT-pT-Zoom5.60,tail_response,tail signal,Right,neighbor,2736.0,348.0,454.0,448,903.2,2007.0,1.222,1
WS61,,eye,Eye response,single,single,560.0,528.0,1.0,0,1202.0,2890.0,1.404,1
