# Generated: 2026-06-09T01:16:42+00:00 UTC
# Script:    parse_xy_coordinates.py
# Git:       f476b12 Add calcium-claims validation pipeline + XY ground-truth layer (DIRTY working tree)
# Python:    3.14.4
# Packages:  Pillow=12.0.0, PyPDF2=3.0.1, matplotlib=3.10.7, numpy=2.2.6, opencv-python=4.12.0.88, openpyxl=3.1.5, …
#
prefix,video_stem,side,landmark_raw,landmark_class,frame,x,y
WS61,,single,Head,head,1,393.0,553.0
WS61,,single,Tail,tail,1,1722.0,570.0
WS61,,single,Eye response,eye,1,560.0,528.0
WS61,,single,Poke location,poke,1,1096.0,576.0
WS62,,single,Head,head,1,272.0,467.0
WS62,,single,Tail,tail,1,1494.0,470.0
WS62,,single,Poke location,poke,1,912.0,518.0
PS63,PS63_C-oHT-pM-Zoom5.60,single,Head,head,1,368.0,518.0
PS63,PS63_C-oHT-pM-Zoom5.60,single,Tail,tail,1,1736.0,468.0
PS63,PS63_C-oHT-pM-Zoom5.60,single,Pressure location,pressure,1,1056.0,622.0
PS64,PS64_C-oHT-pM-Zoom5.60,single,Head,head,1,376.0,548.0
PS64,PS64_C-oHT-pM-Zoom5.60,single,Tail,tail,1,1884.0,542.0
PS64,PS64_C-oHT-pM-Zoom5.60,single,Pressure location,pressure,1,1094.0,634.0
PS64,PS64_C-oHT-pM-Zoom5.60,single,Cement gland response,cement_gland,1,452.0,656.0
PS65,PS65_C-oHT-pM-Zoom5.60,single,Head,head,1,346.0,516.0
PS65,PS65_C-oHT-pM-Zoom5.60,single,Tail,tail,1,1790.0,496.0
PS65,PS65_C-oHT-pM-Zoom5.60,single,Pressure location,pressure,1,904.0,622.0
PS66,PS66_C-oHT-pM-Zoom5.60,single,Head,head,1,296.0,530.0
PS66,PS66_C-oHT-pM-Zoom5.60,single,Tail,tail,1,1702.0,506.0
PS66,PS66_C-oHT-pM-Zoom5.60,single,Pressure location,pressure,1,1008.0,556.0
PS66,PS66_C-oHT-pM-Zoom5.60,single,Cement gland response,cement_gland,1,424.0,660.0
PS67,PS67_C-oHT-pM-Zoom5.60,single,Head,head,1,218.0,516.0
PS67,PS67_C-oHT-pM-Zoom5.60,single,Tail,tail,1,1768.0,516.0
PS67,PS67_C-oHT-pM-Zoom5.60,single,Pressure location,pressure,1,926.0,564.0
PS67,PS67_C-oHT-pM-Zoom5.60,single,Cement gland response,cement_gland,1,342.0,652.0
PS68,PS68_C-oHT-pM-Zoom5.60,single,Head,head,1,350.0,534.0
PS68,PS68_C-oHT-pM-Zoom5.60,single,Tail,tail,1,1748.0,534.0
PS68,PS68_C-oHT-pM-Zoom5.60,single,Pressure location,pressure,1,1014.0,602.0
PS68,PS68_C-oHT-pM-Zoom5.60,single,Tail response,tail_response,301,1624.0,574.0
